"","USD1MTD156N","DGS3MO"
"1982-01-04",NA,11.87
"1982-01-05",NA,12.2
"1982-01-06",NA,12.16
"1982-01-07",NA,12.17
"1982-01-08",NA,11.98
"1982-01-11",NA,12.49
"1982-01-12",NA,12.52
"1982-01-13",NA,12.7
"1982-01-14",NA,13.17
"1982-01-15",NA,12.74
"1982-01-18",NA,13.41
"1982-01-19",NA,13.13
"1982-01-20",NA,13.51
"1982-01-21",NA,13.65
"1982-01-22",NA,13.63
"1982-01-25",NA,14.06
"1982-01-26",NA,13.65
"1982-01-27",NA,13.4
"1982-01-28",NA,12.84
"1982-01-29",NA,13.08
"1982-02-01",NA,14.77
"1982-02-02",NA,14.49
"1982-02-03",NA,14.64
"1982-02-04",NA,14.38
"1982-02-05",NA,14.63
"1982-02-08",NA,15.04
"1982-02-09",NA,14.91
"1982-02-10",NA,14.88
"1982-02-11",NA,15.06
"1982-02-12",NA,NA
"1982-02-15",NA,NA
"1982-02-16",NA,15.49
"1982-02-17",NA,15.31
"1982-02-18",NA,14.58
"1982-02-19",NA,14.17
"1982-02-22",NA,13.13
"1982-02-23",NA,12.93
"1982-02-24",NA,12.83
"1982-02-25",NA,12.79
"1982-02-26",NA,13
"1982-03-01",NA,12.81
"1982-03-02",NA,13.22
"1982-03-03",NA,12.85
"1982-03-04",NA,12.85
"1982-03-05",NA,12.86
"1982-03-08",NA,12.68
"1982-03-09",NA,12.93
"1982-03-10",NA,13
"1982-03-11",NA,13.24
"1982-03-12",NA,13.4
"1982-03-15",NA,13.47
"1982-03-16",NA,13.33
"1982-03-17",NA,13.36
"1982-03-18",NA,13.45
"1982-03-19",NA,13.69
"1982-03-22",NA,13.26
"1982-03-23",NA,13.11
"1982-03-24",NA,13.39
"1982-03-25",NA,13.35
"1982-03-26",NA,13.69
"1982-03-29",NA,14.16
"1982-03-30",NA,14.15
"1982-03-31",NA,13.99
"1982-04-01",NA,13.87
"1982-04-02",NA,13.95
"1982-04-05",NA,13.76
"1982-04-06",NA,13.77
"1982-04-07",NA,13.8
"1982-04-08",NA,13.74
"1982-04-09",NA,NA
"1982-04-12",NA,13.43
"1982-04-13",NA,13.33
"1982-04-14",NA,13.44
"1982-04-15",NA,13.47
"1982-04-16",NA,13.21
"1982-04-19",NA,13.04
"1982-04-20",NA,13.07
"1982-04-21",NA,12.73
"1982-04-22",NA,12.99
"1982-04-23",NA,12.99
"1982-04-26",NA,13.17
"1982-04-27",NA,13.04
"1982-04-28",NA,13.09
"1982-04-29",NA,13.2
"1982-04-30",NA,13.15
"1982-05-03",NA,13.46
"1982-05-04",NA,13.6
"1982-05-05",NA,13.39
"1982-05-06",NA,13.08
"1982-05-07",NA,13.02
"1982-05-10",NA,13.21
"1982-05-11",NA,12.97
"1982-05-12",NA,13.05
"1982-05-13",NA,13.09
"1982-05-14",NA,12.92
"1982-05-17",NA,13.02
"1982-05-18",NA,12.88
"1982-05-19",NA,12.47
"1982-05-20",NA,12
"1982-05-21",NA,11.99
"1982-05-24",NA,11.99
"1982-05-25",NA,12.07
"1982-05-26",NA,12.04
"1982-05-27",NA,12.06
"1982-05-28",NA,11.97
"1982-05-31",NA,NA
"1982-06-01",NA,12.55
"1982-06-02",NA,12.69
"1982-06-03",NA,12.63
"1982-06-04",NA,12.78
"1982-06-07",NA,12.71
"1982-06-08",NA,12.79
"1982-06-09",NA,12.62
"1982-06-10",NA,12.52
"1982-06-11",NA,12.55
"1982-06-14",NA,12.88
"1982-06-15",NA,12.93
"1982-06-16",NA,13.03
"1982-06-17",NA,13.15
"1982-06-18",NA,13.31
"1982-06-21",NA,13.11
"1982-06-22",NA,13.37
"1982-06-23",NA,13.67
"1982-06-24",NA,13.6
"1982-06-25",NA,13.87
"1982-06-28",NA,13.81
"1982-06-29",NA,13.8
"1982-06-30",NA,13.36
"1982-07-01",NA,13.14
"1982-07-02",NA,13.36
"1982-07-05",NA,NA
"1982-07-06",NA,13.18
"1982-07-07",NA,13.31
"1982-07-08",NA,12.48
"1982-07-09",NA,12.29
"1982-07-12",NA,12.22
"1982-07-13",NA,12.48
"1982-07-14",NA,12.53
"1982-07-15",NA,12.14
"1982-07-16",NA,11.68
"1982-07-19",NA,11.52
"1982-07-20",NA,11.11
"1982-07-21",NA,11.19
"1982-07-22",NA,10.83
"1982-07-23",NA,10.73
"1982-07-26",NA,10.87
"1982-07-27",NA,11.12
"1982-07-28",NA,11.41
"1982-07-29",NA,10.97
"1982-07-30",NA,10.57
"1982-08-02",NA,9.72
"1982-08-03",NA,10.18
"1982-08-04",NA,10.12
"1982-08-05",NA,10.19
"1982-08-06",NA,10.71
"1982-08-09",NA,10.25
"1982-08-10",NA,10.42
"1982-08-11",NA,10.37
"1982-08-12",NA,9.74
"1982-08-13",NA,9.6
"1982-08-16",NA,8.98
"1982-08-17",NA,8.33
"1982-08-18",NA,8.35
"1982-08-19",NA,7.76
"1982-08-20",NA,7.31
"1982-08-23",NA,7.75
"1982-08-24",NA,7.86
"1982-08-25",NA,7.67
"1982-08-26",NA,7.37
"1982-08-27",NA,8.1
"1982-08-30",NA,8.44
"1982-08-31",NA,8.72
"1982-09-01",NA,8.73
"1982-09-02",NA,8.66
"1982-09-03",NA,8.46
"1982-09-06",NA,NA
"1982-09-07",NA,8.68
"1982-09-08",NA,8.6
"1982-09-09",NA,8.57
"1982-09-10",NA,8.66
"1982-09-13",NA,8.41
"1982-09-14",NA,8.16
"1982-09-15",NA,8.44
"1982-09-16",NA,8.31
"1982-09-17",NA,8.23
"1982-09-20",NA,8.04
"1982-09-21",NA,7.88
"1982-09-22",NA,7.58
"1982-09-23",NA,7.52
"1982-09-24",NA,7.85
"1982-09-27",NA,7.83
"1982-09-28",NA,7.72
"1982-09-29",NA,7.84
"1982-09-30",NA,7.88
"1982-10-01",NA,7.6
"1982-10-04",NA,8.21
"1982-10-05",NA,8.44
"1982-10-06",NA,8.33
"1982-10-07",NA,8.04
"1982-10-08",NA,8
"1982-10-11",NA,NA
"1982-10-12",NA,7.61
"1982-10-13",NA,7.67
"1982-10-14",NA,7.79
"1982-10-15",NA,7.8
"1982-10-18",NA,7.66
"1982-10-19",NA,7.73
"1982-10-20",NA,7.8
"1982-10-21",NA,7.81
"1982-10-22",NA,7.88
"1982-10-25",NA,8.12
"1982-10-26",NA,8.24
"1982-10-27",NA,8.28
"1982-10-28",NA,8.17
"1982-10-29",NA,8.17
"1982-11-01",NA,8.06
"1982-11-02",NA,NA
"1982-11-03",NA,8.06
"1982-11-04",NA,7.99
"1982-11-05",NA,8.04
"1982-11-08",NA,8.18
"1982-11-09",NA,8.28
"1982-11-10",NA,8.36
"1982-11-11",NA,NA
"1982-11-12",NA,8.56
"1982-11-15",NA,8.8
"1982-11-16",NA,8.7
"1982-11-17",NA,8.65
"1982-11-18",NA,8.55
"1982-11-19",NA,8.38
"1982-11-22",NA,8.26
"1982-11-23",NA,8.22
"1982-11-24",NA,8.2
"1982-11-25",NA,NA
"1982-11-26",NA,8.19
"1982-11-29",NA,8.54
"1982-11-30",NA,8.56
"1982-12-01",NA,8.55
"1982-12-02",NA,8.32
"1982-12-03",NA,8.1
"1982-12-06",NA,8.13
"1982-12-07",NA,8.19
"1982-12-08",NA,8.24
"1982-12-09",NA,8.23
"1982-12-10",NA,8.31
"1982-12-13",NA,8.27
"1982-12-14",NA,7.93
"1982-12-15",NA,7.88
"1982-12-16",NA,8.1
"1982-12-17",NA,8.13
"1982-12-20",NA,8.14
"1982-12-21",NA,8.17
"1982-12-22",NA,8.18
"1982-12-23",NA,8.18
"1982-12-24",NA,NA
"1982-12-27",NA,8.16
"1982-12-28",NA,8.33
"1982-12-29",NA,8.43
"1982-12-30",NA,8.29
"1982-12-31",NA,8.2
"1983-01-03",NA,8.17
"1983-01-04",NA,8.28
"1983-01-05",NA,8.25
"1983-01-06",NA,8.2
"1983-01-07",NA,8.02
"1983-01-10",NA,7.96
"1983-01-11",NA,7.94
"1983-01-12",NA,7.94
"1983-01-13",NA,7.92
"1983-01-14",NA,7.79
"1983-01-17",NA,7.85
"1983-01-18",NA,7.9
"1983-01-19",NA,7.94
"1983-01-20",NA,8.04
"1983-01-21",NA,8.29
"1983-01-24",NA,8.37
"1983-01-25",NA,8.32
"1983-01-26",NA,8.36
"1983-01-27",NA,8.3
"1983-01-28",NA,8.26
"1983-01-31",NA,8.36
"1983-02-01",NA,8.45
"1983-02-02",NA,8.45
"1983-02-03",NA,8.43
"1983-02-04",NA,8.52
"1983-02-07",NA,8.5
"1983-02-08",NA,8.57
"1983-02-09",NA,8.55
"1983-02-10",NA,8.45
"1983-02-11",NA,8.42
"1983-02-14",NA,8.53
"1983-02-15",NA,8.6
"1983-02-16",NA,8.48
"1983-02-17",NA,8.38
"1983-02-18",NA,8.26
"1983-02-21",NA,NA
"1983-02-22",NA,8.17
"1983-02-23",NA,8.24
"1983-02-24",NA,8.2
"1983-02-25",NA,8.08
"1983-02-28",NA,8.21
"1983-03-01",NA,8.26
"1983-03-02",NA,8.3
"1983-03-03",NA,8.25
"1983-03-04",NA,8.29
"1983-03-07",NA,8.48
"1983-03-08",NA,8.61
"1983-03-09",NA,8.57
"1983-03-10",NA,8.55
"1983-03-11",NA,8.56
"1983-03-14",NA,8.51
"1983-03-15",NA,8.55
"1983-03-16",NA,8.61
"1983-03-17",NA,8.63
"1983-03-18",NA,8.74
"1983-03-21",NA,8.8
"1983-03-22",NA,8.93
"1983-03-23",NA,8.78
"1983-03-24",NA,8.83
"1983-03-25",NA,9
"1983-03-28",NA,9.01
"1983-03-29",NA,8.97
"1983-03-30",NA,8.98
"1983-03-31",NA,8.96
"1983-04-01",NA,NA
"1983-04-04",NA,8.97
"1983-04-05",NA,8.8
"1983-04-06",NA,8.72
"1983-04-07",NA,8.68
"1983-04-08",NA,8.63
"1983-04-11",NA,8.45
"1983-04-12",NA,8.49
"1983-04-13",NA,8.48
"1983-04-14",NA,8.42
"1983-04-15",NA,8.43
"1983-04-18",NA,8.36
"1983-04-19",NA,8.47
"1983-04-20",NA,8.4
"1983-04-21",NA,8.44
"1983-04-22",NA,8.44
"1983-04-25",NA,8.44
"1983-04-26",NA,8.45
"1983-04-27",NA,8.41
"1983-04-28",NA,8.41
"1983-04-29",NA,8.38
"1983-05-02",NA,8.33
"1983-05-03",NA,8.33
"1983-05-04",NA,8.3
"1983-05-05",NA,8.34
"1983-05-06",NA,8.26
"1983-05-09",NA,8.43
"1983-05-10",NA,8.3
"1983-05-11",NA,8.25
"1983-05-12",NA,8.35
"1983-05-13",NA,8.3
"1983-05-16",NA,8.45
"1983-05-17",NA,8.44
"1983-05-18",NA,8.42
"1983-05-19",NA,8.46
"1983-05-20",NA,8.48
"1983-05-23",NA,8.73
"1983-05-24",NA,8.8
"1983-05-25",NA,8.82
"1983-05-26",NA,8.85
"1983-05-27",NA,8.8
"1983-05-30",NA,NA
"1983-05-31",NA,8.97
"1983-06-01",NA,8.92
"1983-06-02",NA,8.84
"1983-06-03",NA,8.87
"1983-06-06",NA,8.96
"1983-06-07",NA,9.17
"1983-06-08",NA,9.18
"1983-06-09",NA,9.08
"1983-06-10",NA,9.11
"1983-06-13",NA,9.03
"1983-06-14",NA,9.06
"1983-06-15",NA,9.06
"1983-06-16",NA,8.99
"1983-06-17",NA,9.01
"1983-06-20",NA,9.32
"1983-06-21",NA,9.32
"1983-06-22",NA,9.35
"1983-06-23",NA,9.31
"1983-06-24",NA,9.42
"1983-06-27",NA,9.38
"1983-06-28",NA,9.34
"1983-06-29",NA,9.2
"1983-06-30",NA,9.15
"1983-07-01",NA,9.05
"1983-07-04",NA,NA
"1983-07-05",NA,9.36
"1983-07-06",NA,9.38
"1983-07-07",NA,9.49
"1983-07-08",NA,9.48
"1983-07-11",NA,9.42
"1983-07-12",NA,9.52
"1983-07-13",NA,9.47
"1983-07-14",NA,9.46
"1983-07-15",NA,9.59
"1983-07-18",NA,9.47
"1983-07-19",NA,9.51
"1983-07-20",NA,9.44
"1983-07-21",NA,9.44
"1983-07-22",NA,9.45
"1983-07-25",NA,9.43
"1983-07-26",NA,9.47
"1983-07-27",NA,9.43
"1983-07-28",NA,9.54
"1983-07-29",NA,9.59
"1983-08-01",NA,9.63
"1983-08-02",NA,9.89
"1983-08-03",NA,9.78
"1983-08-04",NA,9.86
"1983-08-05",NA,9.83
"1983-08-08",NA,9.89
"1983-08-09",NA,9.94
"1983-08-10",NA,9.97
"1983-08-11",NA,9.98
"1983-08-12",NA,9.9
"1983-08-15",NA,9.83
"1983-08-16",NA,9.83
"1983-08-17",NA,9.73
"1983-08-18",NA,9.68
"1983-08-19",NA,9.7
"1983-08-22",NA,9.54
"1983-08-23",NA,9.56
"1983-08-24",NA,9.49
"1983-08-25",NA,9.48
"1983-08-26",NA,9.54
"1983-08-29",NA,9.62
"1983-08-30",NA,9.69
"1983-08-31",NA,9.64
"1983-09-01",NA,9.58
"1983-09-02",NA,9.63
"1983-09-05",NA,NA
"1983-09-06",NA,9.59
"1983-09-07",NA,9.49
"1983-09-08",NA,9.48
"1983-09-09",NA,9.54
"1983-09-12",NA,9.39
"1983-09-13",NA,9.46
"1983-09-14",NA,9.47
"1983-09-15",NA,9.46
"1983-09-16",NA,9.43
"1983-09-19",NA,9.34
"1983-09-20",NA,9.32
"1983-09-21",NA,9.33
"1983-09-22",NA,9.33
"1983-09-23",NA,9.22
"1983-09-26",NA,9.05
"1983-09-27",NA,9.08
"1983-09-28",NA,9.12
"1983-09-29",NA,9.24
"1983-09-30",NA,9.04
"1983-10-03",NA,9.13
"1983-10-04",NA,9
"1983-10-05",NA,9.01
"1983-10-06",NA,8.97
"1983-10-07",NA,8.94
"1983-10-10",NA,NA
"1983-10-11",NA,9.16
"1983-10-12",NA,9.14
"1983-10-13",NA,9.16
"1983-10-14",NA,9.12
"1983-10-17",NA,8.88
"1983-10-18",NA,8.85
"1983-10-19",NA,8.84
"1983-10-20",NA,8.88
"1983-10-21",NA,8.87
"1983-10-24",NA,9.03
"1983-10-25",NA,9
"1983-10-26",NA,9
"1983-10-27",NA,8.99
"1983-10-28",NA,8.96
"1983-10-31",NA,8.83
"1983-11-01",NA,8.8
"1983-11-02",NA,8.82
"1983-11-03",NA,8.97
"1983-11-04",NA,9.14
"1983-11-07",NA,9.14
"1983-11-08",NA,NA
"1983-11-09",NA,9.13
"1983-11-10",NA,9.09
"1983-11-11",NA,NA
"1983-11-14",NA,9.12
"1983-11-15",NA,9.13
"1983-11-16",NA,9.14
"1983-11-17",NA,9.2
"1983-11-18",NA,9.2
"1983-11-21",NA,9.12
"1983-11-22",NA,9.12
"1983-11-23",NA,9.16
"1983-11-24",NA,NA
"1983-11-25",NA,9.12
"1983-11-28",NA,9.25
"1983-11-29",NA,9.22
"1983-11-30",NA,9.24
"1983-12-01",NA,9.27
"1983-12-02",NA,9.28
"1983-12-05",NA,9.29
"1983-12-06",NA,9.3
"1983-12-07",NA,9.31
"1983-12-08",NA,9.38
"1983-12-09",NA,9.34
"1983-12-12",NA,9.31
"1983-12-13",NA,9.46
"1983-12-14",NA,9.48
"1983-12-15",NA,9.53
"1983-12-16",NA,9.47
"1983-12-19",NA,9.45
"1983-12-20",NA,9.41
"1983-12-21",NA,9.36
"1983-12-22",NA,9.25
"1983-12-23",NA,9.32
"1983-12-26",NA,NA
"1983-12-27",NA,9.29
"1983-12-28",NA,9.34
"1983-12-29",NA,9.34
"1983-12-30",NA,9.33
"1984-01-02",NA,NA
"1984-01-03",NA,9.35
"1984-01-04",NA,9.34
"1984-01-05",NA,9.29
"1984-01-06",NA,9.22
"1984-01-09",NA,9.25
"1984-01-10",NA,9.27
"1984-01-11",NA,9.3
"1984-01-12",NA,9.29
"1984-01-13",NA,9.08
"1984-01-16",NA,9.11
"1984-01-17",NA,9.24
"1984-01-18",NA,9.27
"1984-01-19",NA,9.25
"1984-01-20",NA,9.32
"1984-01-23",NA,9.3
"1984-01-24",NA,9.29
"1984-01-25",NA,9.3
"1984-01-26",NA,9.29
"1984-01-27",NA,9.28
"1984-01-30",NA,9.24
"1984-01-31",NA,9.26
"1984-02-01",NA,9.25
"1984-02-02",NA,9.27
"1984-02-03",NA,9.32
"1984-02-06",NA,9.5
"1984-02-07",NA,9.43
"1984-02-08",NA,9.47
"1984-02-09",NA,9.4
"1984-02-10",NA,9.43
"1984-02-13",NA,NA
"1984-02-14",NA,9.43
"1984-02-15",NA,9.44
"1984-02-16",NA,9.44
"1984-02-17",NA,9.53
"1984-02-20",NA,NA
"1984-02-21",NA,9.5
"1984-02-22",NA,9.51
"1984-02-23",NA,9.64
"1984-02-24",NA,9.54
"1984-02-27",NA,9.55
"1984-02-28",NA,9.59
"1984-02-29",NA,9.49
"1984-03-01",NA,9.54
"1984-03-02",NA,9.5
"1984-03-05",NA,9.54
"1984-03-06",NA,9.59
"1984-03-07",NA,9.67
"1984-03-08",NA,9.7
"1984-03-09",NA,9.77
"1984-03-12",NA,9.69
"1984-03-13",NA,9.74
"1984-03-14",NA,9.83
"1984-03-15",NA,9.86
"1984-03-16",NA,9.87
"1984-03-19",NA,10
"1984-03-20",NA,10.2
"1984-03-21",NA,10.2
"1984-03-22",NA,10.18
"1984-03-23",NA,10.15
"1984-03-26",NA,10.11
"1984-03-27",NA,10.17
"1984-03-28",NA,10.1
"1984-03-29",NA,10.07
"1984-03-30",NA,10.09
"1984-04-02",NA,10.05
"1984-04-03",NA,10.18
"1984-04-04",NA,10.18
"1984-04-05",NA,10.18
"1984-04-06",NA,10.05
"1984-04-09",NA,9.95
"1984-04-10",NA,10.01
"1984-04-11",NA,10.01
"1984-04-12",NA,10.02
"1984-04-13",NA,10.11
"1984-04-16",NA,10.17
"1984-04-17",NA,10.15
"1984-04-18",NA,10.14
"1984-04-19",NA,10.1
"1984-04-20",NA,NA
"1984-04-23",NA,10.01
"1984-04-24",NA,10.04
"1984-04-25",NA,10.02
"1984-04-26",NA,9.91
"1984-04-27",NA,10.08
"1984-04-30",NA,10.1
"1984-05-01",NA,10.08
"1984-05-02",NA,10.06
"1984-05-03",NA,10.05
"1984-05-04",NA,10.25
"1984-05-07",NA,10.35
"1984-05-08",NA,10.44
"1984-05-09",NA,10.4
"1984-05-10",NA,10.25
"1984-05-11",NA,10.4
"1984-05-14",NA,10.37
"1984-05-15",NA,10.52
"1984-05-16",NA,10.14
"1984-05-17",NA,10.16
"1984-05-18",NA,10.19
"1984-05-21",NA,10.07
"1984-05-22",NA,10.45
"1984-05-23",NA,10.33
"1984-05-24",NA,10.09
"1984-05-25",NA,9.94
"1984-05-28",NA,NA
"1984-05-29",NA,10.09
"1984-05-30",NA,10.15
"1984-05-31",NA,10.13
"1984-06-01",NA,10.18
"1984-06-04",NA,10.23
"1984-06-05",NA,10.14
"1984-06-06",NA,10.15
"1984-06-07",NA,10.23
"1984-06-08",NA,10.25
"1984-06-11",NA,10.43
"1984-06-12",NA,10.48
"1984-06-13",NA,10.28
"1984-06-14",NA,10.28
"1984-06-15",NA,10.27
"1984-06-18",NA,10.35
"1984-06-19",NA,10.31
"1984-06-20",NA,10.31
"1984-06-21",NA,10.33
"1984-06-22",NA,10.23
"1984-06-25",NA,10.14
"1984-06-26",NA,10.19
"1984-06-27",NA,10.14
"1984-06-28",NA,10.24
"1984-06-29",NA,10.31
"1984-07-02",NA,10.12
"1984-07-03",NA,10.38
"1984-07-04",NA,NA
"1984-07-05",NA,10.37
"1984-07-06",NA,10.4
"1984-07-09",NA,10.41
"1984-07-10",NA,10.54
"1984-07-11",NA,10.51
"1984-07-12",NA,10.44
"1984-07-13",NA,10.36
"1984-07-16",NA,10.4
"1984-07-17",NA,10.61
"1984-07-18",NA,10.52
"1984-07-19",NA,10.54
"1984-07-20",NA,10.59
"1984-07-23",NA,10.63
"1984-07-24",NA,10.69
"1984-07-25",NA,10.68
"1984-07-26",NA,10.67
"1984-07-27",NA,10.7
"1984-07-30",NA,10.76
"1984-07-31",NA,10.83
"1984-08-01",NA,10.86
"1984-08-02",NA,10.9
"1984-08-03",NA,10.9
"1984-08-06",NA,10.98
"1984-08-07",NA,10.97
"1984-08-08",NA,10.9
"1984-08-09",NA,10.85
"1984-08-10",NA,10.86
"1984-08-13",NA,10.88
"1984-08-14",NA,10.72
"1984-08-15",NA,10.62
"1984-08-16",NA,10.68
"1984-08-17",NA,10.75
"1984-08-20",NA,10.88
"1984-08-21",NA,10.85
"1984-08-22",NA,10.84
"1984-08-23",NA,10.88
"1984-08-24",NA,10.91
"1984-08-27",NA,11.12
"1984-08-28",NA,11.1
"1984-08-29",NA,11.11
"1984-08-30",NA,11.09
"1984-08-31",NA,11.06
"1984-09-03",NA,NA
"1984-09-04",NA,11.14
"1984-09-05",NA,11.08
"1984-09-06",NA,11.04
"1984-09-07",NA,10.99
"1984-09-10",NA,10.84
"1984-09-11",NA,10.82
"1984-09-12",NA,10.83
"1984-09-13",NA,10.75
"1984-09-14",NA,10.79
"1984-09-17",NA,10.81
"1984-09-18",NA,10.74
"1984-09-19",NA,10.69
"1984-09-20",NA,10.66
"1984-09-21",NA,10.67
"1984-09-24",NA,10.72
"1984-09-25",NA,10.71
"1984-09-26",NA,10.64
"1984-09-27",NA,10.57
"1984-09-28",NA,10.63
"1984-10-01",NA,10.65
"1984-10-02",NA,10.67
"1984-10-03",NA,10.59
"1984-10-04",NA,10.57
"1984-10-05",NA,10.55
"1984-10-08",NA,NA
"1984-10-09",NA,10.51
"1984-10-10",NA,10.48
"1984-10-11",NA,10.36
"1984-10-12",NA,10.3
"1984-10-15",NA,10.39
"1984-10-16",NA,10.35
"1984-10-17",NA,10.26
"1984-10-18",NA,10.1
"1984-10-19",NA,9.93
"1984-10-22",NA,9.92
"1984-10-23",NA,9.82
"1984-10-24",NA,9.51
"1984-10-25",NA,9.53
"1984-10-26",NA,9.71
"1984-10-29",NA,9.65
"1984-10-30",NA,9.54
"1984-10-31",NA,9.35
"1984-11-01",NA,9.36
"1984-11-02",NA,9.34
"1984-11-05",NA,8.99
"1984-11-06",NA,NA
"1984-11-07",NA,8.86
"1984-11-08",NA,9.08
"1984-11-09",NA,8.94
"1984-11-12",NA,NA
"1984-11-13",NA,9.04
"1984-11-14",NA,9.08
"1984-11-15",NA,8.98
"1984-11-16",NA,8.9
"1984-11-19",NA,8.93
"1984-11-20",NA,8.93
"1984-11-21",NA,8.85
"1984-11-22",NA,NA
"1984-11-23",NA,8.75
"1984-11-26",NA,8.79
"1984-11-27",NA,8.68
"1984-11-28",NA,8.68
"1984-11-29",NA,8.65
"1984-11-30",NA,8.74
"1984-12-03",NA,8.71
"1984-12-04",NA,8.8
"1984-12-05",NA,8.78
"1984-12-06",NA,8.78
"1984-12-07",NA,8.64
"1984-12-10",NA,8.65
"1984-12-11",NA,8.63
"1984-12-12",NA,8.56
"1984-12-13",NA,8.58
"1984-12-14",NA,8.39
"1984-12-17",NA,8.24
"1984-12-18",NA,8.08
"1984-12-19",NA,7.97
"1984-12-20",NA,8.07
"1984-12-21",NA,8.03
"1984-12-24",NA,7.9
"1984-12-25",NA,NA
"1984-12-26",NA,7.89
"1984-12-27",NA,7.93
"1984-12-28",NA,8
"1984-12-31",NA,8.12
"1985-01-01",NA,NA
"1985-01-02",NA,8.1
"1985-01-03",NA,8.07
"1985-01-04",NA,8.08
"1985-01-07",NA,8.06
"1985-01-08",NA,8.06
"1985-01-09",NA,7.95
"1985-01-10",NA,8
"1985-01-11",NA,8.02
"1985-01-14",NA,7.96
"1985-01-15",NA,7.99
"1985-01-16",NA,8
"1985-01-17",NA,8
"1985-01-18",NA,8
"1985-01-21",NA,NA
"1985-01-22",NA,7.96
"1985-01-23",NA,7.9
"1985-01-24",NA,7.88
"1985-01-25",NA,7.89
"1985-01-28",NA,7.98
"1985-01-29",NA,8.09
"1985-01-30",NA,8.1
"1985-01-31",NA,8.33
"1985-02-01",NA,8.47
"1985-02-04",NA,8.47
"1985-02-05",NA,8.43
"1985-02-06",NA,8.41
"1985-02-07",NA,8.46
"1985-02-08",NA,8.51
"1985-02-11",NA,8.5
"1985-02-12",NA,NA
"1985-02-13",NA,8.53
"1985-02-14",NA,8.48
"1985-02-15",NA,8.47
"1985-02-18",NA,NA
"1985-02-19",NA,8.46
"1985-02-20",NA,8.53
"1985-02-21",NA,8.73
"1985-02-22",NA,8.68
"1985-02-25",NA,8.69
"1985-02-26",NA,8.65
"1985-02-27",NA,8.75
"1985-02-28",NA,8.81
"1985-03-01",NA,8.98
"1985-03-04",NA,9.05
"1985-03-05",NA,9
"1985-03-06",NA,9.01
"1985-03-07",NA,9.12
"1985-03-08",NA,8.89
"1985-03-11",NA,8.79
"1985-03-12",NA,8.85
"1985-03-13",NA,8.91
"1985-03-14",NA,9.05
"1985-03-15",NA,8.71
"1985-03-18",NA,8.83
"1985-03-19",NA,8.86
"1985-03-20",NA,8.84
"1985-03-21",NA,8.75
"1985-03-22",NA,8.82
"1985-03-25",NA,8.74
"1985-03-26",NA,8.64
"1985-03-27",NA,8.63
"1985-03-28",NA,8.49
"1985-03-29",NA,8.47
"1985-04-01",NA,8.44
"1985-04-02",NA,8.51
"1985-04-03",NA,8.45
"1985-04-04",NA,8.41
"1985-04-05",NA,NA
"1985-04-08",NA,8.41
"1985-04-09",NA,8.37
"1985-04-10",NA,8.38
"1985-04-11",NA,8.32
"1985-04-12",NA,8.33
"1985-04-15",NA,8.35
"1985-04-16",NA,8.2
"1985-04-17",NA,8.06
"1985-04-18",NA,7.97
"1985-04-19",NA,8.06
"1985-04-22",NA,7.93
"1985-04-23",NA,8.05
"1985-04-24",NA,8.01
"1985-04-25",NA,8.1
"1985-04-26",NA,8.08
"1985-04-29",NA,8.11
"1985-04-30",NA,8.12
"1985-05-01",NA,8.01
"1985-05-02",NA,8.03
"1985-05-03",NA,7.99
"1985-05-06",NA,8
"1985-05-07",NA,8.03
"1985-05-08",NA,8.09
"1985-05-09",NA,8.01
"1985-05-10",NA,8
"1985-05-13",NA,7.97
"1985-05-14",NA,7.86
"1985-05-15",NA,7.68
"1985-05-16",NA,7.61
"1985-05-17",NA,7.64
"1985-05-20",NA,7.5
"1985-05-21",NA,7.54
"1985-05-22",NA,7.53
"1985-05-23",NA,7.49
"1985-05-24",NA,7.42
"1985-05-27",NA,NA
"1985-05-28",NA,7.45
"1985-05-29",NA,7.48
"1985-05-30",NA,7.42
"1985-05-31",NA,7.38
"1985-06-03",NA,7.24
"1985-06-04",NA,7.18
"1985-06-05",NA,7.14
"1985-06-06",NA,7.21
"1985-06-07",NA,7.39
"1985-06-10",NA,7.49
"1985-06-11",NA,7.38
"1985-06-12",NA,7.32
"1985-06-13",NA,7.2
"1985-06-14",NA,6.91
"1985-06-17",NA,6.99
"1985-06-18",NA,6.87
"1985-06-19",NA,6.95
"1985-06-20",NA,7.06
"1985-06-21",NA,7.27
"1985-06-24",NA,7.29
"1985-06-25",NA,7.32
"1985-06-26",NA,7.21
"1985-06-27",NA,7.13
"1985-06-28",NA,7.05
"1985-07-01",NA,7.09
"1985-07-02",NA,7.17
"1985-07-03",NA,7.24
"1985-07-04",NA,NA
"1985-07-05",NA,6.99
"1985-07-08",NA,7.14
"1985-07-09",NA,7.18
"1985-07-10",NA,7.16
"1985-07-11",NA,7.29
"1985-07-12",NA,7.32
"1985-07-15",NA,7.28
"1985-07-16",NA,7.23
"1985-07-17",NA,7.21
"1985-07-18",NA,7.39
"1985-07-19",NA,7.42
"1985-07-22",NA,7.49
"1985-07-23",NA,7.5
"1985-07-24",NA,7.48
"1985-07-25",NA,7.41
"1985-07-26",NA,7.43
"1985-07-29",NA,7.5
"1985-07-30",NA,7.52
"1985-07-31",NA,7.52
"1985-08-01",NA,7.52
"1985-08-02",NA,7.55
"1985-08-05",NA,7.52
"1985-08-06",NA,7.5
