"Strike","Last","Chg","Bid","Ask","Vol","OI","Type","Expiration","Date","Ticker"
5,183.5,183.5,185.45,186.3,1,0,"calls",2018-08-17,2018-08-14,"AAPL"
12.5,175.99,175.99,178,178.9,1,0,"calls",2018-08-17,2018-08-14,"AAPL"
20,186.58,0,187.55,188.45,4,4,"calls",2018-08-17,2018-08-14,"AAPL"
65,143.05,0,142.15,143.05,1,1,"calls",2018-08-17,2018-08-14,"AAPL"
70,138.65,0,137.15,138.1,1650,0,"calls",2018-08-17,2018-08-14,"AAPL"
75,134.58,0,132.15,133.1,120,0,"calls",2018-08-17,2018-08-14,"AAPL"
80,128.75,0,127.15,128.05,360,0,"calls",2018-08-17,2018-08-14,"AAPL"
85,123.65,0,122.15,123.1,1780,0,"calls",2018-08-17,2018-08-14,"AAPL"
90,118.75,0,117.15,118.1,300,0,"calls",2018-08-17,2018-08-14,"AAPL"
95,113.3,0,112.15,113.1,520,0,"calls",2018-08-17,2018-08-14,"AAPL"
100,107.1,-2.550003,107.15,108.15,6,0,"calls",2018-08-17,2018-08-14,"AAPL"
105,104.66,0,102.15,103.15,30,0,"calls",2018-08-17,2018-08-14,"AAPL"
110,99.6,0,97.2,98.1,20,0,"calls",2018-08-17,2018-08-14,"AAPL"
115,93.85,0,92.15,93.15,650,17,"calls",2018-08-17,2018-08-14,"AAPL"
120,88.85,0,87.15,88.1,520,0,"calls",2018-08-17,2018-08-14,"AAPL"
125,83.85,0,82.15,83.15,360,0,"calls",2018-08-17,2018-08-14,"AAPL"
130,78.8,0,77.2,78.05,1302,13,"calls",2018-08-17,2018-08-14,"AAPL"
135,74.7,0,72.15,73.15,35,0,"calls",2018-08-17,2018-08-14,"AAPL"
140,70.7,0,69.5,70.05,1,20,"calls",2018-08-17,2018-08-14,"AAPL"
145,63.95,0,62.15,63.05,780,20,"calls",2018-08-17,2018-08-14,"AAPL"
150,57.9,-1.0499992,57.15,58.1,9,69,"calls",2018-08-17,2018-08-14,"AAPL"
155,55.07,1.0699997,54.55,54.9,1,72,"calls",2018-08-17,2018-08-14,"AAPL"
160,49.48,0,49.55,49.75,24,118,"calls",2018-08-17,2018-08-14,"AAPL"
162.5,45.5,16.5,44.7,45.6,1,1,"calls",2018-08-17,2018-08-14,"AAPL"
165,44.42,1.6799965,44.5,44.85,1,41,"calls",2018-08-17,2018-08-14,"AAPL"
167.5,42.17,0,39.9,40.6,20,0,"calls",2018-08-17,2018-08-14,"AAPL"
170,37.7,-1.2000008,37.4,38.1,50,162,"calls",2018-08-17,2018-08-14,"AAPL"
172.5,37.07,0,34.85,35.65,30,0,"calls",2018-08-17,2018-08-14,"AAPL"
175,34.52,0,34.5,34.85,7,83,"calls",2018-08-17,2018-08-14,"AAPL"
177.5,31.6,0,29.8,30.7,1507,0,"calls",2018-08-17,2018-08-14,"AAPL"
180,29.7,0.40000153,29.6,29.85,11,729,"calls",2018-08-17,2018-08-14,"AAPL"
182.5,27.82,0,27.1,27.35,10,29,"calls",2018-08-17,2018-08-14,"AAPL"
185,24.68,0.6800003,24.6,24.8,22,537,"calls",2018-08-17,2018-08-14,"AAPL"
187.5,22.25,0,22.05,22.5,9,29,"calls",2018-08-17,2018-08-14,"AAPL"
190,19.64,0.12999916,19.6,19.8,57,1457,"calls",2018-08-17,2018-08-14,"AAPL"
192.5,17,0.20000076,17.05,17.35,34,413,"calls",2018-08-17,2018-08-14,"AAPL"
195,14.7,0.4499998,14.7,14.9,107,1304,"calls",2018-08-17,2018-08-14,"AAPL"
197.5,12.25,0.19999981,12.15,12.45,16,331,"calls",2018-08-17,2018-08-14,"AAPL"
200,9.77,0.4800005,9.7,9.9,1079,4810,"calls",2018-08-17,2018-08-14,"AAPL"
202.5,7.22,0.33999968,7.2,7.4,280,2643,"calls",2018-08-17,2018-08-14,"AAPL"
205,4.9,0.32999992,4.85,4.9,1925,20899,"calls",2018-08-17,2018-08-14,"AAPL"
207.5,2.63,0.10000014,2.62,2.71,6405,12861,"calls",2018-08-17,2018-08-14,"AAPL"
210,0.99,-0.15999997,0.99,1,35723,32937,"calls",2018-08-17,2018-08-14,"AAPL"
212.5,0.27,-0.16,0.27,0.28,15389,16440,"calls",2018-08-17,2018-08-14,"AAPL"
215,0.07,-0.080000006,0.06,0.07,18403,24926,"calls",2018-08-17,2018-08-14,"AAPL"
217.5,0.02,-0.04,0.02,0.03,2870,7182,"calls",2018-08-17,2018-08-14,"AAPL"
220,0.02,-0.02,0.01,0.02,563,9730,"calls",2018-08-17,2018-08-14,"AAPL"
222.5,0.01,-0.01,0,0.01,244,2570,"calls",2018-08-17,2018-08-14,"AAPL"
225,0.01,0,0,0.01,395,4427,"calls",2018-08-17,2018-08-14,"AAPL"
227.5,0.01,0,0,0.03,26,0,"calls",2018-08-17,2018-08-14,"AAPL"
230,0.01,0,0,0.01,143,2168,"calls",2018-08-17,2018-08-14,"AAPL"
235,0.01,-0.01,0,0.01,45,533,"calls",2018-08-17,2018-08-14,"AAPL"
240,0.01,0,0,0.02,2,1722,"calls",2018-08-17,2018-08-14,"AAPL"
245,0.01,-0.01,0,0.03,8,61,"calls",2018-08-17,2018-08-14,"AAPL"
250,0.01,0,0,0.02,300,352,"calls",2018-08-17,2018-08-14,"AAPL"
255,0.01,0,0.02,0.02,1,11,"calls",2018-08-17,2018-08-14,"AAPL"
260,0.02,0,0,0.03,4,4,"calls",2018-08-17,2018-08-14,"AAPL"
270,0.01,0.01,0,0.02,2,3,"calls",2018-08-17,2018-08-14,"AAPL"
275,0.01,0.01,0,0.02,0,1,"calls",2018-08-17,2018-08-14,"AAPL"
280,0.01,0,0,0.01,1,94,"calls",2018-08-17,2018-08-14,"AAPL"
300,0.01,0.01,0,0.02,0,45,"calls",2018-08-17,2018-08-14,"AAPL"
305,0.01,0.01,0,0.02,0,3,"calls",2018-08-17,2018-08-14,"AAPL"
360,0.01,0,0,0.02,7,27,"calls",2018-08-17,2018-08-14,"AAPL"
375,0.01,0,0,0.01,1,1,"calls",2018-08-17,2018-08-14,"AAPL"
380,0.01,0,0,0.02,3,1,"calls",2018-08-17,2018-08-14,"AAPL"
100,0.01,0.01,0,0.02,0,1161,"puts",2018-08-17,2018-08-14,"AAPL"
105,0.01,0.01,0,0.01,60,136,"puts",2018-08-17,2018-08-14,"AAPL"
110,0.01,-0.01,0,0.02,150,748,"puts",2018-08-17,2018-08-14,"AAPL"
115,0.02,0.02,0,0.02,0,225,"puts",2018-08-17,2018-08-14,"AAPL"
120,0.01,0.01,0,0.03,6,565,"puts",2018-08-17,2018-08-14,"AAPL"
125,0.01,0,0,0.01,1,609,"puts",2018-08-17,2018-08-14,"AAPL"
130,0.01,0,0,0.01,4,786,"puts",2018-08-17,2018-08-14,"AAPL"
135,0.01,0,0,0.01,2,2312,"puts",2018-08-17,2018-08-14,"AAPL"
140,0.01,0,0,0.01,1,10257,"puts",2018-08-17,2018-08-14,"AAPL"
145,0.01,0,0,0.01,200,5099,"puts",2018-08-17,2018-08-14,"AAPL"
150,0.01,0,0,0.01,2,5319,"puts",2018-08-17,2018-08-14,"AAPL"
155,0.01,-0.01,0,0.01,105,10498,"puts",2018-08-17,2018-08-14,"AAPL"
160,0.01,0,0,0.01,997,9319,"puts",2018-08-17,2018-08-14,"AAPL"
162.5,0.01,0,0,0.02,10,862,"puts",2018-08-17,2018-08-14,"AAPL"
165,0.01,0,0.01,0.02,321,55132,"puts",2018-08-17,2018-08-14,"AAPL"
167.5,0.02,0.01,0,0.03,25,2563,"puts",2018-08-17,2018-08-14,"AAPL"
170,0.01,0,0,0.01,50,20350,"puts",2018-08-17,2018-08-14,"AAPL"
172.5,0.03,0.01,0.01,0.03,1008,5560,"puts",2018-08-17,2018-08-14,"AAPL"
175,0.01,0,0,0.01,37,74025,"puts",2018-08-17,2018-08-14,"AAPL"
177.5,0.01,0,0,0.01,13,3783,"puts",2018-08-17,2018-08-14,"AAPL"
180,0.01,-0.01,0,0.01,569,26964,"puts",2018-08-17,2018-08-14,"AAPL"
182.5,0.01,0,0.01,0.02,334,4662,"puts",2018-08-17,2018-08-14,"AAPL"
185,0.01,-0.01,0.01,0.02,195,23731,"puts",2018-08-17,2018-08-14,"AAPL"
187.5,0.02,-0.02,0.01,0.02,75,7818,"puts",2018-08-17,2018-08-14,"AAPL"
190,0.03,-0.020000001,0.02,0.03,484,18185,"puts",2018-08-17,2018-08-14,"AAPL"
192.5,0.04,-0.02,0.03,0.04,2278,3650,"puts",2018-08-17,2018-08-14,"AAPL"
195,0.06,-0.030000005,0.05,0.06,3424,9251,"puts",2018-08-17,2018-08-14,"AAPL"
197.5,0.07,-0.04,0.06,0.07,993,7231,"puts",2018-08-17,2018-08-14,"AAPL"
200,0.09,-0.06999999,0.09,0.1,1993,16789,"puts",2018-08-17,2018-08-14,"AAPL"
202.5,0.13,-0.120000005,0.12,0.13,3692,11417,"puts",2018-08-17,2018-08-14,"AAPL"
205,0.22,-0.26,0.22,0.23,9256,19023,"puts",2018-08-17,2018-08-14,"AAPL"
207.5,0.5,-0.53,0.5,0.51,12765,13741,"puts",2018-08-17,2018-08-14,"AAPL"
210,1.35,-0.7900001,1.36,1.35,12149,15279,"puts",2018-08-17,2018-08-14,"AAPL"
212.5,3.15,-0.75,3.1,3.2,1406,1818,"puts",2018-08-17,2018-08-14,"AAPL"
215,5.27,-0.2800002,5.3,5.55,484,1467,"puts",2018-08-17,2018-08-14,"AAPL"
217.5,8.1,-0.19999981,7.85,8.1,6,47,"puts",2018-08-17,2018-08-14,"AAPL"
220,10.25,-0.6300001,10.3,10.55,1,30,"puts",2018-08-17,2018-08-14,"AAPL"
222.5,14.2,0,14.45,15.15,2,46,"puts",2018-08-17,2018-08-14,"AAPL"
225,17.8,-2.0500011,17.15,17.6,12,4,"puts",2018-08-17,2018-08-14,"AAPL"
227.5,16.9,0,17.35,18,1,1,"puts",2018-08-17,2018-08-14,"AAPL"
230,21.55,-10.900002,22,22.65,6,76,"puts",2018-08-17,2018-08-14,"AAPL"
232.5,25.15,0,24.45,25.35,5,5,"puts",2018-08-17,2018-08-14,"AAPL"
235,26.9,-0.95000076,26.95,27.7,3,10,"puts",2018-08-17,2018-08-14,"AAPL"
237.5,30.75,0,29.45,30.35,20,20,"puts",2018-08-17,2018-08-14,"AAPL"
240,30.8,0,30.2,30.5,4,20,"puts",2018-08-17,2018-08-14,"AAPL"
250,52.45,0,41.8,43.15,3,303,"puts",2018-08-17,2018-08-14,"AAPL"
255,64.65,0,63.7,64.15,5,5,"puts",2018-08-17,2018-08-14,"AAPL"
270,63,0,62,62.8,2,29,"puts",2018-08-17,2018-08-14,"AAPL"
275,77.15,0,67.05,68.15,10,10,"puts",2018-08-17,2018-08-14,"AAPL"
285,92.85,0,93.15,94.3,5,5,"puts",2018-08-17,2018-08-14,"AAPL"
300,109.8,0,107,111.4,6,6,"puts",2018-08-17,2018-08-14,"AAPL"
305,114.05,0,113.55,114.05,15,15,"puts",2018-08-17,2018-08-14,"AAPL"
315,124.25,0,123.55,124.05,10,10,"puts",2018-08-17,2018-08-14,"AAPL"
340,139.95,0,130.6,134.4,4,253,"puts",2018-08-17,2018-08-14,"AAPL"
345,154.5,0,153.05,154.05,314,0,"puts",2018-08-17,2018-08-14,"AAPL"
350,143.4,0,141.9,142.9,12,12,"puts",2018-08-17,2018-08-14,"AAPL"
370,179.85,0,178.95,179.9,31,31,"puts",2018-08-17,2018-08-14,"AAPL"
375,172.6,0,167.15,168,1,29,"puts",2018-08-17,2018-08-14,"AAPL"
380,189.4,0,170.6,174.4,5,627,"puts",2018-08-17,2018-08-14,"AAPL"
152.5,57.05,0.8999977,57.05,57.5,1,2,"calls",2018-08-24,2018-08-14,"AAPL"
155,54.51,0,52.4,53.05,4,0,"calls",2018-08-24,2018-08-14,"AAPL"
157.5,52.17,0,49.9,50.6,105,0,"calls",2018-08-24,2018-08-14,"AAPL"
160,49.4,-1.25,49.5,49.95,6,19,"calls",2018-08-24,2018-08-14,"AAPL"
165,44.54,0,42.45,43.1,9,2,"calls",2018-08-24,2018-08-14,"AAPL"
167.5,42.15,0,39.95,40.6,34,0,"calls",2018-08-24,2018-08-14,"AAPL"
170,39.59,0,37.45,38.15,3,1,"calls",2018-08-24,2018-08-14,"AAPL"
172.5,37.12,0,34.95,35.65,6,0,"calls",2018-08-24,2018-08-14,"AAPL"
175,34.65,0,32.5,33.15,43,0,"calls",2018-08-24,2018-08-14,"AAPL"
177.5,31.35,0,30.05,30.65,600,0,"calls",2018-08-24,2018-08-14,"AAPL"
180,27.65,-1.8999996,27.7,27.95,27,31,"calls",2018-08-24,2018-08-14,"AAPL"
182.5,25.18,-1.4200001,25.05,25.7,10,74,"calls",2018-08-24,2018-08-14,"AAPL"
185,24.6,0,24.6,25.05,1,9,"calls",2018-08-24,2018-08-14,"AAPL"
187.5,21.2,0,20.15,20.75,2136,1,"calls",2018-08-24,2018-08-14,"AAPL"
190,19.8,0.29999924,19.6,20.1,42,119,"calls",2018-08-24,2018-08-14,"AAPL"
192.5,17.5,2.5600004,17.3,17.65,1,30,"calls",2018-08-24,2018-08-14,"AAPL"
195,14.9,0.019999504,14.75,15.2,2,216,"calls",2018-08-24,2018-08-14,"AAPL"
197.5,12.2,0,12.35,12.75,1,109,"calls",2018-08-24,2018-08-14,"AAPL"
200,9.9,-0.20000076,10,10.15,377,2098,"calls",2018-08-24,2018-08-14,"AAPL"
202.5,7.85,0.2999997,7.6,7.75,467,1534,"calls",2018-08-24,2018-08-14,"AAPL"
205,5.55,0.10000038,5.5,5.55,345,2034,"calls",2018-08-24,2018-08-14,"AAPL"
207.5,3.55,-0.00999999,3.55,3.6,1191,7030,"calls",2018-08-24,2018-08-14,"AAPL"
210,2.01,-0.1400001,2.01,2.02,4514,4995,"calls",2018-08-24,2018-08-14,"AAPL"
212.5,1,-0.100000024,0.99,1,3239,4132,"calls",2018-08-24,2018-08-14,"AAPL"
215,0.42,-0.13000003,0.42,0.43,2827,4126,"calls",2018-08-24,2018-08-14,"AAPL"
217.5,0.16,-0.110000014,0.16,0.17,699,2699,"calls",2018-08-24,2018-08-14,"AAPL"
220,0.08,-0.04,0.07,0.08,330,2079,"calls",2018-08-24,2018-08-14,"AAPL"
222.5,0.03,-0.020000001,0.03,0.04,30,1421,"calls",2018-08-24,2018-08-14,"AAPL"
225,0.03,-0.01,0.02,0.03,532,874,"calls",2018-08-24,2018-08-14,"AAPL"
227.5,0.03,0,0.01,0.03,1,337,"calls",2018-08-24,2018-08-14,"AAPL"
230,0.02,-0.01,0,0.02,1,560,"calls",2018-08-24,2018-08-14,"AAPL"
232.5,0.03,0,0,0.03,14,32,"calls",2018-08-24,2018-08-14,"AAPL"
235,0.02,0,0,0.03,5,11,"calls",2018-08-24,2018-08-14,"AAPL"
152.5,0.03,0.02,0,0.04,1,55,"puts",2018-08-24,2018-08-14,"AAPL"
155,0.25,0,0,0.04,13,303,"puts",2018-08-24,2018-08-14,"AAPL"
157.5,0.02,0,0,0.02,3,225,"puts",2018-08-24,2018-08-14,"AAPL"
160,0.04,0.03,0.01,0.04,32,128,"puts",2018-08-24,2018-08-14,"AAPL"
162.5,0.03,0,0.02,0.03,47,97,"puts",2018-08-24,2018-08-14,"AAPL"
165,0.01,0,0,0.02,7,496,"puts",2018-08-24,2018-08-14,"AAPL"
167.5,0.02,-0.02,0,0.02,100,978,"puts",2018-08-24,2018-08-14,"AAPL"
170,0.02,-0.04,0.01,0.02,104,551,"puts",2018-08-24,2018-08-14,"AAPL"
172.5,0.02,-0.06,0.02,0.03,30,644,"puts",2018-08-24,2018-08-14,"AAPL"
175,0.03,-0.020000001,0.03,0.04,47,384,"puts",2018-08-24,2018-08-14,"AAPL"
177.5,0.05,0,0.04,0.05,3,322,"puts",2018-08-24,2018-08-14,"AAPL"
180,0.05,-0.029999997,0.05,0.06,89,880,"puts",2018-08-24,2018-08-14,"AAPL"
182.5,0.07,-0.009999998,0.06,0.07,20,659,"puts",2018-08-24,2018-08-14,"AAPL"
185,0.09,-0.029999994,0.08,0.09,91,1442,"puts",2018-08-24,2018-08-14,"AAPL"
187.5,0.1,-0.029999994,0.1,0.11,256,652,"puts",2018-08-24,2018-08-14,"AAPL"
190,0.13,-0.02000001,0.12,0.13,44,1592,"puts",2018-08-24,2018-08-14,"AAPL"
192.5,0.15,-0.03999999,0.14,0.15,45,820,"puts",2018-08-24,2018-08-14,"AAPL"
195,0.17,-0.06999999,0.17,0.18,430,1238,"puts",2018-08-24,2018-08-14,"AAPL"
197.5,0.21,-0.10000001,0.21,0.22,206,1122,"puts",2018-08-24,2018-08-14,"AAPL"
200,0.29,-0.13,0.29,0.3,592,2639,"puts",2018-08-24,2018-08-14,"AAPL"
202.5,0.42,-0.22,0.42,0.43,767,2600,"puts",2018-08-24,2018-08-14,"AAPL"
205,0.71,-0.38000005,0.71,0.72,1498,11592,"puts",2018-08-24,2018-08-14,"AAPL"
207.5,1.25,-0.57000005,1.26,1.28,2171,2154,"puts",2018-08-24,2018-08-14,"AAPL"
210,2.21,-0.70000005,2.21,2.22,1191,2886,"puts",2018-08-24,2018-08-14,"AAPL"
212.5,3.6,-0.8499999,3.7,3.8,225,707,"puts",2018-08-24,2018-08-14,"AAPL"
215,5.75,-0.5999999,5.65,5.7,133,249,"puts",2018-08-24,2018-08-14,"AAPL"
217.5,8.4,0.8499994,7.75,8.05,1,34,"puts",2018-08-24,2018-08-14,"AAPL"
220,11.11,0,10.2,10.55,110,935,"puts",2018-08-24,2018-08-14,"AAPL"
225,15.4,0,15.2,15.5,6,5,"puts",2018-08-24,2018-08-14,"AAPL"
230,20.6,0.5,20.15,20.5,5,918,"puts",2018-08-24,2018-08-14,"AAPL"
152.5,55.8,-1.3500023,55,55.65,2,20,"calls",2018-08-31,2018-08-14,"AAPL"
155,54.61,0,52.5,53.15,140,0,"calls",2018-08-31,2018-08-14,"AAPL"
160,49.66,0,49.55,50.15,1,1,"calls",2018-08-31,2018-08-14,"AAPL"
162.5,47.1,0,45.05,45.7,30,0,"calls",2018-08-31,2018-08-14,"AAPL"
170,39.6,0,37.6,38.25,135,7,"calls",2018-08-31,2018-08-14,"AAPL"
172.5,37.09,0,35.1,35.8,20,20,"calls",2018-08-31,2018-08-14,"AAPL"
175,34.7,0,32.65,33.3,718,3,"calls",2018-08-31,2018-08-14,"AAPL"
177.5,32.1,0,30.15,30.8,480,0,"calls",2018-08-31,2018-08-14,"AAPL"
180,29.59,0,27.7,28.35,3,7,"calls",2018-08-31,2018-08-14,"AAPL"
182.5,26.77,1.5699997,25.25,25.9,1,0,"calls",2018-08-31,2018-08-14,"AAPL"
185,22.75,-1.6000004,22.8,23.4,5,2,"calls",2018-08-31,2018-08-14,"AAPL"
187.5,22.25,0,20.3,20.95,1108,367,"calls",2018-08-31,2018-08-14,"AAPL"
190,18.32,-1.1300011,17.95,18.45,51,135,"calls",2018-08-31,2018-08-14,"AAPL"
192.5,17.24,-1.460001,17.45,17.85,3,155,"calls",2018-08-31,2018-08-14,"AAPL"
195,15.19,0.069999695,15.1,15.35,20,1340,"calls",2018-08-31,2018-08-14,"AAPL"
197.5,12.36,-0.32000065,12.6,12.95,9,784,"calls",2018-08-31,2018-08-14,"AAPL"
200,10.45,-0.27000046,10.4,10.5,17,1536,"calls",2018-08-31,2018-08-14,"AAPL"
202.5,8.2,-0.14000034,8.1,8.15,32,1820,"calls",2018-08-31,2018-08-14,"AAPL"
205,6.2,0.35999966,6.1,6.15,239,1920,"calls",2018-08-31,2018-08-14,"AAPL"
207.5,4.3,0.14000034,4.25,4.3,105,2628,"calls",2018-08-31,2018-08-14,"AAPL"
210,2.76,0.01999998,2.76,2.79,1714,6381,"calls",2018-08-31,2018-08-14,"AAPL"
212.5,1.63,-0.049999952,1.62,1.64,590,1970,"calls",2018-08-31,2018-08-14,"AAPL"
215,0.88,-0.09000003,0.86,0.88,430,2073,"calls",2018-08-31,2018-08-14,"AAPL"
217.5,0.42,-0.13000003,0.43,0.43,281,1434,"calls",2018-08-31,2018-08-14,"AAPL"
220,0.21,-0.09000002,0.21,0.22,1011,1009,"calls",2018-08-31,2018-08-14,"AAPL"
222.5,0.1,-0.059999995,0.1,0.12,123,332,"calls",2018-08-31,2018-08-14,"AAPL"
225,0.06,-0.030000005,0.06,0.07,20,1361,"calls",2018-08-31,2018-08-14,"AAPL"
227.5,0.05,-0.02,0.03,0.05,26,279,"calls",2018-08-31,2018-08-14,"AAPL"
230,0.03,-0.020000001,0.03,0.04,87,2777,"calls",2018-08-31,2018-08-14,"AAPL"
232.5,0.03,0,0,0.04,1,304,"calls",2018-08-31,2018-08-14,"AAPL"
235,0.02,0,0,0.03,161,191,"calls",2018-08-31,2018-08-14,"AAPL"
152.5,0.03,0,0.02,0.04,2,73,"puts",2018-08-31,2018-08-14,"AAPL"
155,0.04,0,0.02,0.07,15,42,"puts",2018-08-31,2018-08-14,"AAPL"
157.5,0.03,0.02,0.02,0.03,4,155,"puts",2018-08-31,2018-08-14,"AAPL"
160,0.02,-0.01,0.02,0.03,30,142,"puts",2018-08-31,2018-08-14,"AAPL"
162.5,0.03,-0.01,0.04,0.06,11,105,"puts",2018-08-31,2018-08-14,"AAPL"
165,0.04,0,0.03,0.04,3,576,"puts",2018-08-31,2018-08-14,"AAPL"
167.5,0.06,0,0.07,0.09,12,602,"puts",2018-08-31,2018-08-14,"AAPL"
170,0.06,-0.010000002,0.05,0.06,10,2279,"puts",2018-08-31,2018-08-14,"AAPL"
172.5,0.06,-0.030000005,0.06,0.07,24,413,"puts",2018-08-31,2018-08-14,"AAPL"
175,0.09,-0.009999998,0.07,0.09,9,758,"puts",2018-08-31,2018-08-14,"AAPL"
177.5,0.09,-0.009999998,0.08,0.1,30,653,"puts",2018-08-31,2018-08-14,"AAPL"
180,0.11,-0.009999998,0.11,0.12,205,552,"puts",2018-08-31,2018-08-14,"AAPL"
182.5,0.13,0,0.13,0.14,6,799,"puts",2018-08-31,2018-08-14,"AAPL"
185,0.16,0,0.15,0.16,80,1081,"puts",2018-08-31,2018-08-14,"AAPL"
187.5,0.21,0,0.18,0.19,332,735,"puts",2018-08-31,2018-08-14,"AAPL"
190,0.22,-0.019999996,0.21,0.22,128,2002,"puts",2018-08-31,2018-08-14,"AAPL"
192.5,0.25,-0.060000002,0.25,0.27,27,546,"puts",2018-08-31,2018-08-14,"AAPL"
195,0.32,-0.08000001,0.31,0.32,39,1316,"puts",2018-08-31,2018-08-14,"AAPL"
197.5,0.4,-0.15,0.4,0.42,52,2433,"puts",2018-08-31,2018-08-14,"AAPL"
200,0.55,-0.19,0.55,0.56,760,2481,"puts",2018-08-31,2018-08-14,"AAPL"
202.5,0.81,-0.29000002,0.79,0.81,339,1258,"puts",2018-08-31,2018-08-14,"AAPL"
205,1.22,-0.38,1.2,1.22,1340,1692,"puts",2018-08-31,2018-08-14,"AAPL"
207.5,1.88,-0.4899999,1.87,1.9,501,1048,"puts",2018-08-31,2018-08-14,"AAPL"
210,2.8,-0.6500001,2.85,2.9,501,798,"puts",2018-08-31,2018-08-14,"AAPL"
212.5,4.45,-0.4500003,4.25,4.3,34,61,"puts",2018-08-31,2018-08-14,"AAPL"
215,6.15,-0.25,5.95,6.05,24,111,"puts",2018-08-31,2018-08-14,"AAPL"
217.5,8.5,0,8.05,8.15,18,14,"puts",2018-08-31,2018-08-14,"AAPL"
220,10.5,-0.5,10.25,10.65,8,14,"puts",2018-08-31,2018-08-14,"AAPL"
222.5,13.34,0.39000034,12.7,13.2,1,5,"puts",2018-08-31,2018-08-14,"AAPL"
225,18.1,0,17.1,17.7,5,0,"puts",2018-08-31,2018-08-14,"AAPL"
230,23.55,0.75,22.1,22.75,22,22,"puts",2018-08-31,2018-08-14,"AAPL"
235,26.29,0,27.1,27.75,2,1,"puts",2018-08-31,2018-08-14,"AAPL"
160,46.95,-2.079998,47.65,48.3,1,3,"calls",2018-09-07,2018-08-14,"AAPL"
162.5,37.5,0,45,46.65,1,1,"calls",2018-09-07,2018-08-14,"AAPL"
165,43,0,42.65,43.35,2,0,"calls",2018-09-07,2018-08-14,"AAPL"
170,37.57,0,37.6,39.15,1,1,"calls",2018-09-07,2018-08-14,"AAPL"
172.5,28.38,0,35.1,36.65,8,8,"calls",2018-09-07,2018-08-14,"AAPL"
175,32.75,0,32.8,33.45,2,0,"calls",2018-09-07,2018-08-14,"AAPL"
177.5,32.55,0.34999847,32.35,32.85,1,0,"calls",2018-09-07,2018-08-14,"AAPL"
180,30.3,0,29.8,30.35,4,15,"calls",2018-09-07,2018-08-14,"AAPL"
182.5,24.4,0,25.3,26,3,29,"calls",2018-09-07,2018-08-14,"AAPL"
185,23.1,0,22.8,23.55,2,15,"calls",2018-09-07,2018-08-14,"AAPL"
187.5,22.14,0,20.5,21.15,1,0,"calls",2018-09-07,2018-08-14,"AAPL"
190,20.25,0,20,20.55,137,433,"calls",2018-09-07,2018-08-14,"AAPL"
192.5,18,0.20000076,17.5,18.05,1,285,"calls",2018-09-07,2018-08-14,"AAPL"
195,15.12,0,15.15,15.7,29,935,"calls",2018-09-07,2018-08-14,"AAPL"
197.5,12.55,-0.21000004,13,13.1,11,337,"calls",2018-09-07,2018-08-14,"AAPL"
200,10.85,0.32000065,10.65,10.75,54,3178,"calls",2018-09-07,2018-08-14,"AAPL"
202.5,8.24,-0.15999985,8.55,8.65,24,3147,"calls",2018-09-07,2018-08-14,"AAPL"
205,6.45,0,6.5,6.6,28,1596,"calls",2018-09-07,2018-08-14,"AAPL"
207.5,4.66,0.009999752,4.7,4.8,100,1661,"calls",2018-09-07,2018-08-14,"AAPL"
210,3.32,-0.03999996,3.25,3.3,202,4395,"calls",2018-09-07,2018-08-14,"AAPL"
212.5,2.12,-0.06000018,2.1,2.15,110,2330,"calls",2018-09-07,2018-08-14,"AAPL"
215,1.3,-0.120000005,1.25,1.29,1363,17299,"calls",2018-09-07,2018-08-14,"AAPL"
217.5,0.75,-0.06999999,0.69,0.72,188,376,"calls",2018-09-07,2018-08-14,"AAPL"
220,0.38,-0.120000005,0.38,0.4,48,1120,"calls",2018-09-07,2018-08-14,"AAPL"
222.5,0.22,-0.050000012,0.2,0.22,13,137,"calls",2018-09-07,2018-08-14,"AAPL"
225,0.13,-0.040000007,0.11,0.13,14,1301,"calls",2018-09-07,2018-08-14,"AAPL"
227.5,0.07,-0.030000001,0.07,0.09,5,12,"calls",2018-09-07,2018-08-14,"AAPL"
230,0.07,-0.009999998,0.05,0.06,1,198,"calls",2018-09-07,2018-08-14,"AAPL"
232.5,0.07,0,0.01,0.05,1,14,"calls",2018-09-07,2018-08-14,"AAPL"
235,0.05,0.010000002,0,0.05,1,123,"calls",2018-09-07,2018-08-14,"AAPL"
160,0.05,0,0.03,0.05,75,211,"puts",2018-09-07,2018-08-14,"AAPL"
162.5,0.1,-0.46,0.07,0.11,10,51,"puts",2018-09-07,2018-08-14,"AAPL"
165,0.06,0,0.05,0.07,10,68,"puts",2018-09-07,2018-08-14,"AAPL"
167.5,0.05,-0.08,0.06,0.08,1,360,"puts",2018-09-07,2018-08-14,"AAPL"
170,0.08,-0.010000005,0.07,0.1,44,407,"puts",2018-09-07,2018-08-14,"AAPL"
172.5,0.11,-0.08,0.09,0.11,60,48,"puts",2018-09-07,2018-08-14,"AAPL"
175,0.21,0,0.16,0.19,4,539,"puts",2018-09-07,2018-08-14,"AAPL"
177.5,0.23,0,0.18,0.21,1,76,"puts",2018-09-07,2018-08-14,"AAPL"
180,0.2,0.030000001,0.15,0.17,8,461,"puts",2018-09-07,2018-08-14,"AAPL"
182.5,0.2,-0.03999999,0.18,0.2,1,362,"puts",2018-09-07,2018-08-14,"AAPL"
