"","AAPL","GE","TWTR","BAC","RAD","PFE"
"1980-04-21",NA,0,NA,0,NA,-0.0139082058414465
"1980-04-22",NA,0.0224514563106797,NA,0,NA,0.0239774330042313
"1980-04-23",NA,0.0108803165182987,NA,0.00926384952903825,NA,0.0123966942148761
"1980-04-24",NA,0.00821917808219186,NA,0,NA,0.0272108843537415
"1980-04-25",NA,0.00795807453416142,NA,-0.00917881833710898,NA,0.0119205298013245
"1980-04-28",NA,0.0053918736761025,NA,0.00926384952903825,NA,-0.0117801047120419
"1980-04-29",NA,0.00248994445508521,NA,0,NA,-0.0132450331125828
"1980-04-30",NA,0.00267481849445939,NA,-0.00917881833710898,NA,-0.0134228187919463
"1980-05-01",NA,-0.0262957317073171,NA,0.00926384952903825,NA,-0.0122448979591837
"1980-05-02",NA,-0.00802348336594916,NA,0,NA,0
"1980-05-05",NA,0.010850266324719,NA,0.0366932793747847,NA,0
"1980-05-06",NA,0,NA,0.00885393830530523,NA,0.0123966942148761
"1980-05-07",NA,0.024199843871975,NA,0.0613985896339497,NA,0.0272108843537415
"1980-05-08",NA,-0.0078125,NA,-0.0247924605559482,NA,0
"1980-05-09",NA,-0.00537737660841175,NA,-0.0254227531609136,NA,-0.0132450331125828
"1980-05-12",NA,-0.00270322456072591,NA,-0.0260859293025454,NA,0.0134228187919463
"1980-05-13",NA,0,NA,0,NA,0.0119205298013245
"1980-05-14",NA,-0.00251694094869315,NA,0.0178587991866148,NA,0.0130890052356021
"1980-05-15",NA,0.013392857142857,NA,-0.0175454583689664,NA,0.00904392764857898
"1980-05-16",NA,-0.00536295728787595,NA,0,NA,0.0115236875800255
"1980-05-19",NA,0.00789524359714999,NA,-0.0178587991866148,NA,-0.0113924050632911
"1980-05-20",NA,0,NA,0.0272716705896028,NA,-0.00896286811779778
"1980-05-21",NA,0.00534963698891855,NA,-0.0176937329391964,NA,0.0206718346253232
"1980-05-22",NA,0.015773470163436,NA,0.00900622012325059,NA,0.0126582278481013
"1980-05-23",NA,0.0258185219831619,NA,0.00892583211444475,NA,0
"1980-05-27",NA,0.00510669341601311,NA,0,NA,0.0125
"1980-05-28",NA,-0.00254037379785887,NA,0,NA,0
"1980-05-29",NA,-0.00764053119883579,NA,0,NA,-0.0271604938271605
"1980-05-30",NA,0.0181484876260312,NA,0.0177008047749034,NA,0.0114213197969544
"1980-06-02",NA,-0.0153042851998559,NA,-0.00869299348894093,NA,-0.0112923462986199
"1980-06-03",NA,0,NA,-0.00877623407029404,NA,0.0114213197969544
"1980-06-04",NA,0.0181020296215031,NA,0,NA,0.0125470514429109
"1980-06-05",NA,0.0150862068965516,NA,0.0265547430802089,NA,0.0235439900867411
"1980-06-06",NA,0.00495399858457191,NA,0.0172360344720688,NA,0.0121065375302665
"1980-06-09",NA,-0.0123239436619718,NA,0,NA,0
"1980-06-10",NA,0.00249554367201421,NA,-0.0169439873224841,NA,0.020334928229665
